MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
ACURA,INTEGRA 5DR SEDAN,23,473,183,141,274,1399,133,112,35,78,110,99,100,154,157,61/39
ACURA,RDX A-SPEC 4DR SUV,23,477,190,167,275,1855,133,171,41,93,115,101,102,163,164,57/43
ACURA,RDX BASE/TECH 4DR SUV,23,477,190,167,275,1830,133,171,41,93,115,101,102,163,164,57/43
ALFA ROMEO,TONALE 4DR SUV,23,453,184,160,264,1835,119,145,36,86,109,95,94,158,157,52/48
ASTON MARTIN,VANTAGE V12,23,451,198,127,270,1795,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53/47
ASTON MARTIN,VANTAGE V12 ROADSTER,23,451,198,127,270,1855,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51/49
ASTON MARTIN,VANTAGE V8,23,447,194,127,270,1685,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/50
ASTON MARTIN,VANTAGE V8 ROADSTER,23,447,194,127,270,1745,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49/51
BMW,7 SERIES 740i 4DR SEDAN,23,539,195,154,322,2141,170,65,38,91,105,98,119,167,165,53/47
BMW,7 SERIES 760i xDRIVE 4DR SEDAN,23,539,195,154,322,2311,170,65,38,91,105,98,119,167,165,55/45
BMW,i7 4DR SEDAN,23,539,195,154,322,2684,170,65,38,91,105,98,119,167,165,49/51
BMW,M2 2DR COUPE,23,458,189,140,275,1730,149,58,35,81,105,85,98,162,161,52/48
BMW,X1 4DR SUV,23,450,185,163,269,1730,121,167,41,89,109,88,92,157,157,57/43
BMW,X7 M60i 4DR SUV,23,517,200,183,310,2674,134,193,43,90,105,89,117,168,169,48/52
BMW,X7 xDRIVE40i 4DR SUV,23,517,200,183,310,2457,134,193,43,90,105,89,117,168,169,48/52
BMW,XM 4DR SUV,23,511,200,176,310,2750,144,191,40,97,126,91,109,173,169,49/51
CADILLAC,LYRIQ 4DR SUV,23,500,221,162,309,2545,131,157,36,93,119,91,101,167,167,49/51
CHEVROLET,COLORADO CREWCAB 2WD,23,541,190,180,334,2139,138,279,41,82,113,87,120,159,159,N/A
CHEVROLET,COLORADO CREWCAB 4WD,23,541,190,180,334,2255,138,279,41,82,113,87,120,159,159,N/A
CHEVROLET,COLORADO CREWCAB 4WD TRAIL BOSS,23,541,194,183,334,2255,138,279,41,82,113,87,120,168,168,N/A
CHEVROLET,COLORADO CREWCAB 4WD ZR2,23,541,194,188,334,2403,138,279,41,82,113,87,120,168,168,N/A
CHEVROLET,CORVETTE Z06 CONVERTIBLE,23,468,202,123,272,1632,121,N/A,27,72,114,108,88,168,168,39/69
CHEVROLET,CORVETTE Z06 COUPE,23,468,202,123,272,1588,121,57,27,72,114,108,88,168,168,39/69
CHEVROLET,SILVERADO EV 4DR PICKUP,23,592,207,198,370,N/A,123,320,47,104,125,94,128,175,175,N/A
